open,high,low,close,volume
7498.12,7720.26,7272.7,7578.3,548264563.89
7578.3,7645.62,7328.61,7454.69,425379581.62
7458.38,7609.01,7306.93,7336.66,334540459.2
7336.68,7389.42,7229.72,7345.86,326314686.79
7346.02,7430.72,7067.6,7099.38,411364949.35
7101.26,7526.28,7042.54,7457.36,501548504.88
7459.58,7560.74,7276.51,7385.67,431494915.3
7381.39,7616.1,7333.07,7489.52,445375205.31
7488.57,7601.15,7357.1,7518.85,413512666.51
7518.09,7692.19,7455.41,7638.26,372054543.52
7638.26,7773.52,7602.02,7717.4,420472384.72
7718.55,7753.88,7450.05,7487.58,466647908.9
7487.27,7670.06,7364.53,7623.42,452166461.03
7622.99,7692.46,7485.37,7658.2,430245977.04
7658.21,7754.48,7636.07,7688.05,351602384.69
7689.46,7703.0,7540.3,7611.35,362879121.25
7611.04,7682.92,7464.48,7493.13,348877642.63
7493.14,7493.14,6633.82,6763.99,617315076.81
6763.99,6910.86,6629.25,6877.12,538458863.75
6877.13,6884.91,6464.75,6551.15,536739933.4
6551.15,6615.12,6146.75,6299.49,599384700.04
6299.54,6709.89,6268.74,6640.97,594577733.66
6641.87,6652.79,6375.89,6396.92,474006092.55
6396.92,6552.01,6341.23,6492.65,359187440.79
6492.65,6585.89,6436.41,6447.24,351251811.83
6451.07,6798.16,6395.86,6717.17,429780431.77
6716.93,6836.81,6672.97,6748.1,412974190.91
6746.56,6809.87,6562.22,6767.92,432155109.06
6768.01,6800.65,6686.72,6723.93,397263887.31
6723.92,6737.07,5945.79,6059.34,606828596.55
6059.34,6267.07,6023.69,6166.17,389725537.54
6165.99,6256.71,5774.89,6152.3,536652365.74
6152.6,6341.96,6098.64,6252.05,543659290.45
6252.05,6266.45,6052.25,6077.27,415715801.47
6074.17,6185.48,6011.26,6144.88,377297871.91
6144.47,6172.01,5846.16,5871.46,506232038.59
5870.57,6294.48,5811.92,6212.93,592464895.92
6212.87,6513.31,6203.62,6403.62,651922178.1
6403.97,6447.3,6275.27,6370.05,1053207251.94
6369.44,6685.01,6293.4,6621.67,754037542.45
6621.66,6681.38,6476.71,6517.41,784745291.43
6518.12,6782.82,6436.4,6603.48,626469581.14
6603.48,6693.15,6473.19,6543.56,1033798108.55
